post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
153715517.interview-with-professor-david-wilson,2024-12-28T15:15:13.402Z,true,2024-12-28T15:15:13.518Z,2024-12-28T15:15:13.518Z,newsletter,everyone,Interview with Professor David Wilson,Exploring the Minds of Serial Killers and the Discipline of Criminology,
153675097.all-about-psychology-newsletter,,false,,,newsletter,only_paid,,,
153485118.personality-vs-character,2024-12-22T15:44:57.953Z,true,2024-12-22T15:44:58.029Z,2024-12-22T15:44:58.029Z,newsletter,everyone,Personality vs. Character,Exploring the Distinction Between What We Are and Who We Choose to Be,
153153181.all-about-psychology-newsletter-b3f,2024-12-15T12:42:53.179Z,true,2024-12-15T12:42:53.279Z,2024-12-15T12:42:53.279Z,newsletter,everyone,All About Psychology Newsletter,The Unbearable Allure of Cringe. The Birth of Personality Assessment. 365 Lessons on Cognitive Biases. An Experimental Study of Apparent Behavior. Remembering Names.,
152837017.all-about-psychology-newsletter-8a0,2024-12-10T14:32:08.108Z,true,2024-12-10T14:32:08.235Z,2024-12-10T14:32:08.235Z,newsletter,everyone,All About Psychology Newsletter,"Three Myths and Three Facts About Left-Handers. Bystander Apathy. Heredity Environment, and The Question ""How?"" Clutter Blindness.",
152510215.the-cognitive-reflection-test,2024-12-03T14:53:36.024Z,true,2024-12-03T14:53:36.118Z,2024-12-03T14:53:36.118Z,newsletter,everyone,The Cognitive Reflection Test,A Simple Puzzle with Profound Insights into How We Think,
152397579.q-and-a-with-karen-faith,2024-12-01T12:40:02.154Z,true,2024-12-01T12:40:02.262Z,2024-12-01T12:40:02.262Z,newsletter,everyone,Q&A with Karen Faith,"I recently had the privilege of interviewing Karen Faith, a renowned ethnographer and empathy expert who shared powerful stories and insights on empathy, communication, and human connection.",
152183027.all-about-psychology-newsletter-62e,2024-11-26T11:47:59.032Z,true,2024-11-26T11:47:59.109Z,2024-11-26T11:47:59.109Z,newsletter,everyone,All About Psychology Newsletter,"Why Do We Feel Bad When Our Beliefs Don’t Match Our Actions? Morons, Imbeciles and Idiots. The Association Method. Sundowning. ",
151965988.on-this-day-in-psychology-a-showcase,2024-11-21T10:16:13.624Z,true,2024-11-21T10:16:13.696Z,2024-11-21T10:16:13.696Z,newsletter,only_paid,On This Day in Psychology: A Showcase of Great Pioneers and Defining Moments,Free Giveaway,
151933550.thank-you,2024-11-20T17:55:38.463Z,false,2024-11-20T17:55:38.572Z,2024-11-20T17:55:38.572Z,adhoc_email,only_paid,Thank You,,
